application_id,contact_id,applicant_name,region,plan_id,channel,status,priority,owner,days_waiting,period_label,member_id
APP-10026,CNT-20026,Casey J.,West,PLN-03,Online,New,Standard,Lili M,2,This week,
APP-10027,CNT-20027,Renata H.,Midwest,PLN-02,Phone,Exception,Urgent,Sampat P,10,This week,
APP-10028,CNT-20028,Robin K.,South,PLN-01,Online,Enrolled,Standard,Priya,,This week,MNR-50017
APP-10029,CNT-20029,Rory N.,West,PLN-03,Online,In progress,Standard,Priya,2,This week,
APP-10030,CNT-20030,Rowan M.,Northeast,PLN-02,Phone,Enrolled,Standard,Priya,,This week,MNR-50018
APP-10031,CNT-20031,Monica T.,Midwest,PLN-01,Online,Enrolled,Standard,Priya,,This week,MNR-50019
APP-10032,CNT-20032,Kendall C.,South,PLN-03,Online,Enrolled,Standard,Bala K,,This week,MNR-50020
APP-10033,CNT-20033,Adrian K.,West,PLN-02,Online,Enrolled,Standard,Akshitha M,,This week,MNR-50021
APP-10034,CNT-20034,Abigail J.,Northeast,PLN-02,Broker,Enrolled,Standard,Tanuja R,,This week,MNR-50022
APP-10035,CNT-20035,Eugenia L.,Midwest,PLN-03,Phone,In progress,Standard,Tanuja R,6,This week,
APP-10036,CNT-20036,Preston Q.,South,PLN-02,Online,Enrolled,Standard,Sampat P,,This week,MNR-50023
APP-10037,CNT-20037,Ashley S.,West,PLN-01,Online,Enrolled,Standard,Lili M,,This week,MNR-50024
APP-10038,CNT-20038,Hayden C.,Northeast,PLN-03,Phone,Enrolled,Standard,Priya,,This week,MNR-50025
APP-10039,CNT-20039,Mikaela L.,Midwest,PLN-02,Online,Enrolled,Standard,Priya,,This week,MNR-50026
APP-10040,CNT-20040,Jessie I.,South,PLN-01,Online,Enrolled,Standard,Priya,,This week,MNR-50027
APP-10041,CNT-20041,Kerry A.,West,PLN-02,Online,Enrolled,Standard,Bala K,,This week,MNR-50028
APP-10042,CNT-20042,Brooke G.,Northeast,PLN-03,Phone,Enrolled,Standard,Akshitha M,,This week,MNR-50029
APP-10043,CNT-20043,Ana B.,Midwest,PLN-02,Broker,Enrolled,Standard,Tanuja R,,This week,MNR-50030
APP-10044,CNT-20044,Cora T.,South,PLN-03,Online,Enrolled,Standard,Sampat P,,This week,MNR-50031
APP-10045,CNT-20045,Amari R.,West,PLN-02,Online,Enrolled,Standard,Lili M,,This week,MNR-50032
APP-10046,CNT-20046,Patti T.,Northeast,PLN-01,Online,Enrolled,Standard,Priya,,This week,MNR-50033
APP-10047,CNT-20047,Kendrall C.,Midwest,PLN-03,Phone,Enrolled,Standard,Priya,,This week,MNR-50034
APP-10048,CNT-20048,Quinn D.,South,PLN-02,Online,New,Standard,Lili M,1,This week,
APP-10049,CNT-20049,Marcus B.,West,PLN-01,Online,Enrolled,Standard,Priya,,This week,MNR-50035
APP-10050,CNT-20050,Nadia P.,Northeast,PLN-03,Phone,Enrolled,Standard,Bala K,,This week,MNR-50036
